two-channel video installation
chromogenic print
single-channel video
bronze
graphite, ink wash on wove paper
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print mounted on board
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
fourteen gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
vintage gelatin silver print
vintage gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print mounted on board
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver prints
photogravure on tissue
colour half-tone
halftone?
screenprint on wove paper
screenprint on wove paper
screenprint on wove paper
gelatin silver prints and chalk on board
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
gelatin silver print
twelve gelatin silver prints
gelatin silver print on bromo-chloride projection paper, lightly toned in Seleni
